product_name,core_terms,brand,stop_words,itemid,main_cat,weekly_orders
[FA-008] Masker Pelindung Hidung Mulut Wajah Muka Laki-laki Cowok Polos Anti Debu Asap, Masker Wajah,,"[FA-008], Laki-laki, Cowok",145931500,38,8
Anting-Anting Perhiasan Wanita Kristal Persegi Elegan Berlian Imitasi,Anitng,,Wanita,61531146,38,11
Satu Pasang Anting Mutiara Panjang Berlapis Emas Untuk Wanita,anting,,"panjang, emas, untuk, wanita",60591880,38,77
Anting Stud Untuk Wanita: Model Manik Ceri Merah Daun Hias Berlian Imitasi Warna Emas Bahan Logam,anting,,"untuk, merah, wanita, emas",61827823,38,56
12 Pasang Anting Fashion Wanita Bentuk Mawar Berbagai Warna,anting,,"12 pasang, wanita",60591451,38,51
Anting Stud Fashion Unisex: Gaya Korea Bulan Sabit Berlian Imitasi Berkilau,anting,,"unisex, korea, bulan sabit",60769823,38,46
Perhiasan Anting Stud Dengan Batu Imitasi Motif Bunga Peony Camilia Untuk Wanita : Logam Campuran,anting,,"dengan, wanita, untuk",61379753,38,34
Satu Pasang Anting Mawar Style Korea Dengan Mutiara Dan Berlian Buatan,anting,,"korea, dengan, dan",60591862,38,29
Anting Stud Tindik Dengan Liontin Batu Imitasi Bintang 5 Ujung Untuk Wanita Saat Pesta,anting,,"5, wanita, dengan, untuk",61379725,38,28
Anting Fashion Wanita: Model Jepit Depan Dan Belakang Dengan Hiasan Mutiara,anting,,"wanita, dan, dengan",60760162,38,26
Anting-Anting Perhiasan Wanita Unik Asimetris Daun dengan Klip Rantai,anting,,"wanita, unik, dengan",61531057,38,25
anting pita berlian kotak biru Korean bow Crystal cube earrings jan046,anting,,"korean, biru, jan046",68043854,38,22
anting mutiara bunga earrings oearl flower JAN005,anting,,jan005,29013652,38,21
Anting-Anting Perhiasan Wanita Garis Berlian Imitasi Zirkon dengan Kaitan Jepit,anting,,wanita,61531049,38,20
anting korea gold plated long pearl earrings jan062,anting,,"korea, gold, long, jan062",150064537,38,18
Anting Stud Fashion Unisex: Gaya Korea Bulan Sabit Berlian Imitasi Berkilau,anting,,"unisex, korea",60769823,38,18
Anting Dengan Dua Mutiara Tiruan Untuk Wanita,anting,,"untuk, wanita",60591917,38,17
Anting Stud Untuk Wanita: Model Simpul Pita Warna Emas Cantik Hias Kristal Imitasi Aneka Warna,anting,,"untuk, wanita, emas, cantik",61831371,38,17
Perhiasan Anting Stud Modis Romantis Untuk Wanita : Berlapis Perak Motif Bunga,anting,,"untuk, wanita, perak",61387757,38,17
Perhiasan Pesta Anting Gantung Bentuk U Dua Sisi Dengan Bola Mutiara Palsu Untuk Wanita,anting,,"bentuk u, dua sisi, untuk wanita",61379720,38,17
Perhiasan Pengantin Wanita Anting Stud Dengan Batu Imitasi Dan Mutiara Palsu Putih,anting,,"dengan, dan, wanita, putih",61379724,38,17
Anting Stud Untuk Wanita: Model Juntai Bunga Hias Kristal erlian Imitasi Gaya Khas Korea,anting,,"dengan, dan, wanita, korea",61832978,38,17
Anting-Anting Perhiasan Wanita Unik Asimetris Daun dengan Klip Rantai,anting,,"unik, wanita",61531057,38,17
Perhiasan Anting Stud Modis Untuk Wanita : Dengan Kristal Batu Imitasi Manik-manik Ganda,anting,,"wanita, ganda",61387844,38,17
Anting Stud Untuk Wanita: Model Juntai Bunga Hias Kristal erlian Imitasi Gaya Khas Korea,anting,,"untuk, wanita, korea",61832978,38,17
Anting Wanita / Unisex: Hiasan Bandul Kristal Putih Bulat Bening Mempesona,anting,,"wanita, unisex, putih, bulat",60759853,38,16
anting kupu bandul mutiara Korean jewelry pearl earrings jan054,anting,,"kupu, korean, jan054",70936428,38,16
