product_name,core_terms,brand,stop_words,itemid,main_cat,weekly_orders
Baby Moon walk Alat Bantu Jalan Anak Bayi / Baby Walker / baby moon walk, Baby Walker,,"Bayi,Baby ",53584308,45,19
CD / Celana dalam anak bahan libby allsize muat smp 18kg murah meriah 60rb/kodi, Celana dalam ,libby ,"anak,18kg,",117862148,45,17
1 pasang Sarung Tangan dan Sarung Kaki Libby Untuk Bayi 0-12 bulan (unisex), Sarung Tangan,Libby,"Kaki,unisex, 0-12 bulan",85126715,45,27
Alas Ompol Baby Oz 1/2 Lusin,Alas ,,"1/2 Lusin,Baby ",18225714,45,16
Alas Ompol Bayi / Alas Kain Lurik Pelangi / 45 x 50 cm Rainbow KDE037,Alas Ompol,,"Bayi,45 x 50 cm",21543404,45,32
Set Apron Menyusui dan Bantal Menyusui,Apron ,,Set ,64572088,45,34
AYUNAN & KELAMBU BABY SAJA TANPA PERBESIGETIGA ALAS,AYUNAN,,BABY,28383400,45,22
Mesin ayunan listrik bayi merk polar,ayunan ,polar,bayi,22057651,45,12
REVIEW TERBANYAK. Ayunan ayun listrik elektrik bayi mesin otomatis,Ayunan ,,bayi ,47628593,45,11
Baby Bag organizer 2in1 (bisa selempang & ransel) tas diaper botol susu bayi balita,Baby Bag,,"bayi,balita",87584172,45,11
"Promooo Andrea baby carrier, ergo carrier lokal original",baby carrier,Andrea ,,98433606,45,11
SEBAMED Baby Cream Extra Soft 200 ml / 200ml,Baby Cream,SEBAMED ,"200ml,Soft ",22099298,45,11
Baju Anak 4pcs @32.900 Setelan FootBall All Size 6 bulan - 2 tahun,Baju,,"Anak,4pcs,",169589641,45,24
1/2 Lusin Setelan Baju Panjang + Celana Panjang Kancing Sablon Warna,Baju,,"Lusin,Panjang,Warna",103860134,45,24
Baju Setelan Kemeja Anak Import | Kemeja Import Murah,Baju,,"Anak,Murah",131028529,45,24
4pcs@47.5 Babeebabyshop LITTLE EXECUTIVE ROMPER jumperbayi jumperanak jasanak jasbayi bajupestabayi,baju,Babeebabyshop ,4pcs,15037080,45,18
Baju Muslim Gamis Anak Perempuan Murah Simple Cantik - Peach,Baju,,"Anak,Perempuan,Cantik,Peach",131657945,45,16
Baju kostum Mermaid sisik baju renang,Baju,,,140543591,45,14
Baju Setelan Anak Import | Kaos Anak Fashion Lucu,Baju,,"Anak,Lucu",131012352,45,14
Baju Muslim Gamis Anak Perempuan Murah Simple Cantik - Peach,Baju,,"Anak,Perempuan,Simple,Peach",131657945,45,13
Baju mermaid trand murah kualitas bagus,Baju,,,149773797,45,13
Baju Muslim Gamis Anak Perempuan Murah Simple Cantik - Peach,Baju,,"Anak,Perempuan,Peach",131657945,45,12
Baju Setelan Anak Import | Baju Fashion Trendy Murah,Baju,,Anak ,131012754,45,12
Libby St Baju Pendek Rainbow,Baju,Libby,Pendek ,108692124,45,11
Pasang NAMA+NO PUNGGUNG di baju bola bayi balita (romper jumper dress setelan bayi ),baju ,,"bayi,balita",9769462,45,20
"SETELAN BAJU BAYI ANAK PEREMPUAN (harian, main, piyama, baju tidur)",BAJU ,,"ANAK,PEREMPUAN",126536297,45,20
Baju rok tutu anak lucu,Baju ,,"anak,lucu",101072578,45,20
Tunik Flower Kids / dress Flower Kids / baju anak / pakaian anak / grosir baju anak branded,baju ,,anak ,73133376,45,19
Baju Lengan Panjang 100% Cotton Pink Panda,Baju ,,"Lengan,Panjang,Pink,Panda",33200400,45,19
Baju mermaid / baju putri duyung / baju anak berenang putri duyung,Baju ,,"putri duyung,anak ",159722179,45,19
Baju Muslim Gamis Anak Perempuan Pink Lucu Simple & murah,Baju ,,"Anak,Perempuan,Pink,Lucu",42163759,45,19
Baju koko anak laki 3in1 premium design - Setelan muslim lengan pendek,Baju ,,"anak,laki,3in1,lengan,pendek",149496071,45,18
Jogger Old Navy / jogger denim / baju anak / pakaian anak / grosir baju anak branded,baju ,Old Navy,anak ,91684869,45,18
Baju Muslim Gamis Anak Perempuan Pink Lucu Simple & murah,Baju ,,"Anak,Perempuan,Pink,Lucu",42163759,45,17
set rompi jangkar dasi baju anak cowok baju bayi grosir,baju ,,"anak,cowok,bayi",65123562,45,16
Dress sabrina anak flower kids / dress anak / baju anak / pakaian anak / grosir baju anak branded,baju ,,anak ,63016915,45,16
Baju Anak 4pcs @32.900 Setelan Baby Pilot 6 bulan - 2 tahun All size Cewe Cowo,Baju ,,"Anak,4pcs,Cewe,Cowo",111874968,45,15
Baju Anak 4pcs @32.900 Setelan FootBall All Size 6 bulan - 2 tahun,Baju ,,4pcs,169589641,45,14
baju setelan bayi lengan panjang murah berkualitas,baju ,,"bayi,lengan,panjang",45625844,45,14
Baju Anak 4pcs @32.900 Setelan Baby Pilot 6 bulan - 2 tahun All size Cewe Cowo,Baju ,,"Anak,4pcs,Baby,Cewe,Cowo",111874968,45,14
set rompi jangkar dasi baju anak cowok baju bayi grosir,baju ,,"anak,cowok,bayi ",65123562,45,14
Overall Oshkosh / overall anak cewek / baju anak / pakaian anak / grosir baju anak branded,baju ,Oshkosh ,"anak,cewek ",96356082,45,14
Baju bayi Tangan Pendek,Baju ,,"bayi,Tangan,Pendek",107347671,45,14
Baby Jumper Bola / Baju Bola Bayi Cowo TURN BACK CRIME TBC INTERPOL POLICE,Baju ,,"Bayi,Cowo ",24187360,45,14
Baju Anak Ecer dan Grosir Piyama Doraemon Lgn Pjg Salur 1- 4 Tahun laki dan Perempuan,Baju ,,"Anak,laki,Perempuan,1- 4 Tahun",111935473,45,13
Baju Muslim Gamis Anak Perempuan Murah Simple Cantik - Peach,Baju ,,"Anak,Perempuan,Peach",131657945,45,13
Baju Setelan Anak Cowok/ Kaos fashion import anak laki-laki/ hijau,Baju ,,"Anak,Cowok, laki-laki,hijau",42015246,45,13
1/2 Lusin Setelan Baju Pendek + Celana Pendek Kancing Sablon Warna,Baju ,,"1/2 Lusin,Pendek ",103855297,45,13
Baju Setelan Anak Cowok/ Kaos fashion import anak laki-laki/ biru,Baju ,,"Anak,Cowok,laki-laki,biru",60601266,45,13
BAJU TANGAN PENDEK COTTON POLOS,BAJU ,,"TANGAN,PENDEK,COTTON,POLOS",20935352,45,12
SETENGAH LUSIN SETELAN BAJU BABY BAYI LENGAN PANJANG BUKA KAKI PREMIUM QUALITY SNI,BAJU ,,"KAKI,BABY,BAYI,LENGAN,PANJANG,PREMIUM ",4534365,45,12
